qid	query	pub_desc	pub_narr
21958	meinung zu flüchtlingen	Publications (articles, reports, book chapters) reporting empirical or theoretical work on public attitudes, perceptions, opinions and discourse about refugees and asylum seekers in Germany, Europe, or comparative contexts.	Include publications that present surveys, qualitative studies, media analyses or policy research explicitly about attitudes toward refugees/asylum seekers, acceptance, integration preferences, perceived threat, xenophobia, support for refugee-related policies, or changes in public opinion over time. Include works that analyse determinants (contact, political ideology, media exposure), subgroup differences, and longitudinal trends. Exclude publications that only address migration in general without specific attention to refugees/asylum seekers, studies solely about migration policy mechanics without public opinion, or historical/descriptive pieces that do not address attitudes or opinions.
478	allgemeine lebenszufriedenheit	Publications addressing general life satisfaction or global subjective well‑being, including measurement, determinants, cross‑national comparisons, and longitudinal changes.	Include empirical and theoretical studies that explicitly measure or analyse overall life satisfaction (single‑item global measures or validated scales), their correlates (income, health, social relations, employment), measurement properties, and population-level trends. Include comparative work using ESS, WVS, SOEP or other survey data. Exclude publications focused solely on domain-specific satisfaction (e.g., job satisfaction, marital satisfaction) unless they include a global life satisfaction measure or directly compare domain and global measures.
52564	allgemeine selbstwirksamkeit	Publications on general self‑efficacy (self‑perceived competence to cope with life’s demands), including psychometric studies, validations, correlational and intervention research.	Include empirical and theoretical work that uses or evaluates general self‑efficacy constructs (e.g., General Self‑Efficacy Scale), cross‑cultural validations, associations with health, education, employment and wellbeing, and interventions aimed at changing general self‑efficacy. Exclude studies focused exclusively on domain‑specific self‑efficacy (academic, health, occupational) unless a general self‑efficacy measure is also included.
3147	antisemitismus	Publications examining antisemitism: prevalence, attitudes, stereotypes, conspiracy beliefs, historical and contemporary manifestations, hate crimes and policy responses.	Include empirical studies, surveys, qualitative analyses and reports that explicitly measure or theorize antisemitic attitudes, incidents, discourse, causes and consequences. Include research on measurement (scales), demographic correlates, intergroup dynamics, and evaluations of interventions or policies addressing antisemitism. Exclude general prejudice research that does not include antisemitic-specific measures or analyses, and works that only discuss Jewish history without linking to contemporary antisemitic attitudes or incidents.
3278	arbeit und beschäftigung	Publications on work and employment: labor market participation, job quality, unemployment, employment transitions, workplace conditions and labour market policy evaluations.	Include empirical and theoretical studies that focus on employment status, job characteristics (hours, contract type, sector), unemployment/incidence, underemployment, labor market integration, returns to work, and policy impacts (active labour market programmes, minimum wage). Include research on subpopulations (youth, migrants, disabled) if employment is the central focus. Exclude publications that concern education, training, or retirement solely in non‑employment contexts unless linked to employment outcomes.
3284	arbeit belastung	Publications addressing occupational load, work-related stress, psychosocial and physical burdens at work, and their effects on health, safety, performance, and absenteeism.	Include empirical studies, reviews, and theoretical work that focus on workload, job strain, psychosocial risk factors (e.g. demands, control, effort-reward imbalance), occupational stress, burnout related to paid work, and interventions to reduce work-related burden. Include workplace health and safety reports, epidemiological studies linking work exposures to health outcomes, and policy analyses about occupational risk. Exclude publications on non-work-related stress (purely family or general life stress without workplace linkage), student academic workload unless explicitly framed as employment, and purely economic analyses of labor markets that do not address occupational burden or psychosocial/physical working conditions.
55053	arbeit zufriedenheit	Publications on job satisfaction, employee attitudes toward work, facets of satisfaction (pay, supervision, tasks), and links with performance, turnover, and well‑being.	Include empirical studies, theoretical papers, and reviews that investigate overall job satisfaction or its components, determinants (e.g. job characteristics, rewards, leadership), outcomes (e.g. commitment, turnover intentions, productivity), and interventions to improve satisfaction. Include cross-national and sector-specific studies of satisfaction and measurement research about satisfaction scales. Exclude studies focused solely on customer satisfaction, student satisfaction unrelated to employment, or organizational climate papers that do not report job satisfaction measures.
55082	arbeit und betrieb	Publications on work in the context of enterprises and firms: workplace organization, industrial relations, employment practices, production processes, and company-level working conditions.	Include studies and reports that examine the relationship between work and the employing organization such as organizational structure, HR practices, workplace governance, industrial relations, occupational safety at the firm level, production organization, and case studies of companies. Include comparative studies of establishments, employer surveys, and policy analyses concerning workplace and firm practices. Exclude macroeconomic labor market analyses that do not address firm- or establishment-level work processes, and purely consumer-focused business research unrelated to employee work.
55098	arbeit und leben	Publications about work–life relations: work–family balance, reconciliation of employment and private life, flexible work arrangements, and effects on well‑being and family outcomes.	Include empirical and theoretical studies that investigate work–life balance, work–family conflict and enrichment, flexible working time, parental leave, telework and its effects on family life, and policies to reconcile work and private life. Include comparative policy analyses, interventions, and qualitative studies of lived experience. Exclude publications focusing exclusively on family dynamics without connection to employment, or on retirement and leisure that do not consider work–life interaction.
55428	arbeit	Publications covering employment, work organisation, occupations, labour relations, job quality, occupational health, and the sociology/economics of work.	Include broad empirical studies, reviews, and theoretical work about paid work and employment: labor market participation, occupational structure, working conditions, job quality, employment relations, skills and training, occupational health and safety, and policy interventions affecting work. Include sectoral, cross-national, and historical perspectives on work. Exclude content unrelated to employment (e.g. volunteer activities unless explicitly analyzed as work) and publications that do not address work or employment dimensions.
55638	arbeit im wandel	Publications analyzing the changing nature of work and employment over time, including causes, patterns and consequences of structural, technological and organizational change.	Relevant publications: empirical and theoretical studies, review articles and policy reports that address transformations in work (e.g. digitalization, automation, platform work, flexibilization, demographic change), longitudinal analyses of occupational change, comparative/historical accounts of labor market restructuring, and evaluations of policies responding to change. Include works at micro (worker, firm), meso (occupation, sector) and macro (national, cross-national) levels. Exclude: publications that only mention the phrase without analysing change; narrow technical papers on specific technologies that do not address effects on work or employment; purely clinical or medical case reports unrelated to labor-market transformation.
55684	arbeit und beruf	Publications on work and occupations covering job characteristics, occupational choice, career development, vocational training and the labour market role of occupations.	Relevant publications: empirical studies, theoretical analyses and reviews that address occupations, career trajectories, vocational education & training, job characteristics, occupational segregation, sectoral differences, and labour market outcomes by profession. Include cross-sectional and longitudinal research, policy analyses and comparative studies. Exclude: papers solely about leisure or unrelated personal activities; studies that use 'occupation' only as a demographic label without substantive analysis of work or occupational processes.
55689	arbeit und arbeitszufriedenheit	Publications investigating work and job satisfaction, including determinants, consequences, measurement and cross-group comparisons of occupational well-being.	Relevant publications: empirical studies, theoretical papers, meta-analyses and policy reports on job/organizational satisfaction, its antecedents (job characteristics, working conditions, leadership, pay), consequences (health, turnover, productivity), and measurement approaches. Include research on intrinsic/extrinsic satisfaction, cross-national comparisons and sectoral studies. Exclude: works that only mention satisfaction in passing without measurement or analysis, and studies focused on life satisfaction without connection to job-related satisfaction.
55130	arbeitsbedingungen	Publications on working conditions, including physical, psychosocial, contractual and temporal aspects of work and their impacts on health, safety and well-being.	Relevant publications: empirical research, reviews and policy analyses addressing occupational health and safety, psychosocial risks, work organisation, shift work, working hours, job control, workplace hazards, precarious contracts, and their effects on workers. Include intervention and evaluation studies, sector-specific analyses, and cross-national comparisons. Exclude: publications that only use the term superficially without analysing working conditions, and papers exclusively about non-work settings.
3125	arbeitslosigkeit	Publications on unemployment, including its causes, duration, socio-economic consequences and policy responses at individual and population levels.	Relevant publications: empirical analyses, theoretical studies, policy reports and reviews addressing unemployment incidence, long-term unemployment, youth unemployment, unemployment duration and transitions, unemployment benefits and active labour market policies, and the socio-economic and health impacts of joblessness. Include cross-national comparisons and administrative-data based studies. Exclude: studies that only mention unemployment tangentially (e.g. as a control variable) without substantive analysis.
57703	arbeitsweg	Publications that study commuting/to-work journeys (Arbeitsweg), including travel time, mode choice, distance, congestion, active commuting, and health or wellbeing consequences of commuting.	Include empirical articles, reports and reviews that focus on the daily journey to and from work: determinants of commute mode, commute duration, spatial distance, multimodal trips, peak-hour dynamics, commuting-related stress, injury or exposure en route, and links between commuting and health, productivity or work–life balance. Also include urban planning and transport policy evaluations that target commuting. Exclude publications that treat non-work travel in general without distinguishing trips to/from workplace, or publications that only mention commuting peripherally without measured or analyzed commuting variables.
3474	arbeitszeit	Publications on working time (Arbeitszeit): hours of work, schedules, shift work, overtime, flexible hours, part-time/full-time distinctions, and related policy and health outcomes.	Include empirical studies, policy analyses and reviews examining contractual and actual working hours, temporal organization of work (shifts, night work, irregular schedules), overtime and unpaid hours, effects on health, wellbeing and family life, productivity, and legal/regulatory frameworks for working time. Exclude publications that focus solely on non-labour temporal measures (e.g., leisure time only) or that mention hours worked without analysis or measurement.
57292	ausländer	Publications addressing foreigners/immigrants (Ausländer): migration status, integration, labour market outcomes, health disparities, discrimination, and demographic studies of foreign-born populations.	Include empirical and theoretical works that explicitly study foreign-born persons, migrants, or persons with migration background: labor market integration, educational attainment, health and wellbeing among migrants, social inclusion/exclusion, legal and policy analysis of immigration, and statistical descriptions of foreign populations. Include studies that use the term 'Ausländer' in context of nationality, citizenship or migration background. Exclude works that use the term only in passing, studies focused solely on tourists or short-term visitors, or publications that do not disaggregate by migration status or country of origin.
4629	belastung von arbeit	Publications on burdens arising from work (Belastung von Arbeit), including psychosocial stressors, workload, physical load, occupational hazards, burnout and health consequences of work demands.	Include empirical and review studies that analyze how aspects of work create burden—psychosocial demands (workload, time pressure, emotional demands), physical strain (ergonomic load, repetitive movements), exposure to hazards, and resulting outcomes such as stress, burnout, musculoskeletal disorders, sickness absence or reduced well‑being. Include occupational health interventions addressing reduction of work-related burden. Exclude studies concerning non-work stressors unless they explicitly connect to or confound work-related burden.
53421	belastung und arbeit	Publications exploring the relationship between burden/stress (Belastung) and work (Arbeit): how work produces burden and how burden affects work performance, health and employment outcomes.	Include research examining causal or associative links between work conditions and burdens (physical, mental, psychosocial), effects of burden on productivity, absenteeism and career trajectories, and interventions to mitigate work-related burden. Accept interdisciplinary studies (occupational health, psychology, sociology, labour economics) that explicitly analyze the interplay between burden and work. Exclude literature that treats burden or work independently without analysis of their connection.
