qid	query	var_desc	var_narr
21958	meinung zu flüchtlingen	Variables and variable-level metadata capturing attitudes toward refugees/asylum seekers (single items and scales), related constructs (xenophobia, perceived threat, social distance, contact), and relevant sociodemographic controls.	Include variable descriptions and codes for items asking about opinions on refugees (e.g., 'Do you support accepting refugees?', 'Would you accept a refugee as a neighbor?'), scales measuring xenophobia or refugee acceptance, and variables on contact, media consumption, political ideology, age, education and region used as covariates. Exclude variables that only record migration status of respondents without any attitudinal content or variables about migration flows/policies without linking to public opinion.
478	allgemeine lebenszufriedenheit	Variable metadata for items and scales measuring general life satisfaction and related subjective well‑being indicators (item wording, response scales, scoring rules).	Include variables representing single‑item life satisfaction measures (with response ranges), composite scores from validated scales (e.g., SWLS total score), indicators for affective well‑being if used alongside life satisfaction, and standard demographic covariates. Provide coding information, missing value handling, and scale reliability where available. Exclude variables limited to domain satisfaction only unless accompanied by a global life satisfaction variable.
52564	allgemeine selbstwirksamkeit	Variables and metadata for items and scales measuring general self‑efficacy (item text, response categories, total scores, reliability statistics).	Include variable descriptions for each GSES item (or equivalent), computed total or mean scores for general self‑efficacy, reverse‑coding rules, and reliability (Cronbach’s alpha). Also include demographic covariates commonly used in analyses. Exclude variables that only reflect domain‑specific self‑efficacy constructs unless accompanied by a general self‑efficacy variable.
3147	antisemitismus	Variables capturing antisemitic attitudes and behaviours: items on stereotypes, social distance, conspiracy beliefs, Holocaust denial, experiences of antisemitic incidents, and related demographic/contextual covariates.	Include variable labels and item wording for antisemitism measures (e.g., agreement with antisemitic statements), coding for incident types, frequency counts, perpetrator/victim descriptors, and standard sociodemographic controls. Exclude variables that only measure general prejudice without items targeting antisemitic content.
3278	arbeit und beschäftigung	Variables describing employment and work: employment status, occupation, industry, working hours, contract type, wages, unemployment duration, job search and job quality indicators.	Include variable metadata for standard labour market items (employed/unemployed/out of labour force), ISCO/ISCO-88/ISCO-08/ISCO-08 mappings, NACE industry codes, hourly/daily/weekly hours, contract permanence, earnings (gross/net), unemployment spells and reasons for job separation. Also include variables on training, commuting, multipart job holdings and workplace characteristics. Exclude variables unrelated to labour market outcomes (purely educational test scores) unless used to analyse employment.
3284	arbeit belastung	Variables capturing workload and occupational burden such as job demands, working hours, physical workload, psychosocial risk scales, absenteeism, and health outcomes related to work.	Include variables measuring perceived workload, quantitative and qualitative job demands, time pressure, overtime, shift patterns, ergonomic strain, exposure to hazards, job control/decision latitude, effort-reward balance, burnout scales, stress, mental health symptoms, and sickness absence. Also include objective measures like recorded overtime hours, injury reports, and physiological stress markers if linked to work. Exclude generic stress variables with no linkage to occupational context.
55053	arbeit zufriedenheit	Variables representing global or facet-specific job satisfaction, affective and cognitive components of job attitudes, and related outcomes such as turnover intentions and organizational commitment.	Include variables for overall job satisfaction, satisfaction with pay, promotion opportunities, supervision, colleagues, work tasks, working conditions, and work-life balance; also include job engagement, commitment, turnover intention, and intention to stay. Include both single-item satisfaction measures and validated multi-item scales. Exclude variables that measure only organizational outcomes without an employee-reported satisfaction component.
55082	arbeit und betrieb	Variables describing firm/establishment characteristics and workplace arrangements such as firm size, sector, ownership, management practices, collective bargaining, shift systems, and workplace safety policies.	Include variables measuring establishment size, industry classification, ownership structure, presence of works councils or unions, HR practices (e.g. training, recruitment), shift organization, workplace safety measures, production technology, and employee composition by occupation. Include organizational outcome variables like productivity, absenteeism, and turnover at the firm level. Exclude variables that concern only individual attitudes without contextual linkage to the employing organization.
55098	arbeit und leben	Variables capturing work–life balance dimensions: work–family conflict/enrichment, flexible hours, telework, caregiving duties, commuting time, and perceptions of reconciliation between work and private life.	Include measures of work-to-family and family-to-work conflict, work–life balance satisfaction, number of hours in paid and unpaid work, schedule flexibility, telecommuting frequency, childcare use, caregiving time, and uptake of family leave. Include outcomes like mental health, relationship quality, and job retention as they relate to work–life integration. Exclude variables unrelated to family or private life (purely occupational variables without linkage to non-work responsibilities).
55428	arbeit	Core employment and work variables including employment status, occupation and industry codes, working hours, wages, contract type, job tenure, and measures of job quality and working conditions.	Include variables for employment/unemployment status, full-/part-time, temporary vs. permanent contracts, occupation (ISCO), industry classification, hourly/weekly earnings, working hours, shift work, job tenure, training, and measures of job satisfaction and health as they relate to work. Also include standard demographic covariates used in labor research. Exclude variables that do not pertain to employment or the nature of work.
55638	arbeit im wandel	Variables that measure aspects of occupational change and the evolving nature of work, including employment type, job tasks, skills and mobility indicators.	Relevant variables: occupational codes and classifications over time (ISCO, national codes), job tenure, job-to-job mobility, incidence of temporary/atypical contracts, teleworking/remote work indicators, automation/technology-exposure measures, skill requirements/skill use scales, task content measures, part-time/full-time status, firm restructuring indicators. Exclude: variables that only measure generic demographics with no link to work change and variables limited to a single point in time without temporal comparability when the query concerns change.
55684	arbeit und beruf	Variables that describe occupational status, job characteristics, career trajectories and vocational qualifications.	Relevant variables: occupation codes (ISCO, KldB), industry sector, job title, employment status (employee/self-employed), occupational prestige and skill level measures, vocational qualifications/training indicators, career path indicators (promotions, lateral moves), job tenure, full-/part-time status, and wage linked to occupation. Exclude: variables unrelated to employment or that only record employer identifiers without occupational detail.
55689	arbeit und arbeitszufriedenheit	Variables measuring job satisfaction, facets of satisfaction, and related predictors/outcomes (work conditions, pay, autonomy, health).	Relevant variables: overall job satisfaction scores, facet-specific satisfaction (pay, supervision, tasks), Likert-scale items or validated composite scores (e.g. MSQ, JSS), variables on working conditions (hours, autonomy, demands), psychosocial risk factors, turnover intentions, absenteeism and mental/physical health indicators. Exclude: generic happiness variables without explicit reference to work, and variables that only capture employer-side satisfaction (management satisfaction with workforce) unless linked to employee outcomes.
55130	arbeitsbedingungen	Variables capturing aspects of working conditions: physical demands, psychosocial factors, hours and scheduling, employment contract and safety exposures.	Relevant variables: physical workload, ergonomic risk factors, exposure to hazards (noise, chemicals), psychosocial measures (demands, control, social support), working time (hours, shift/night work, overtime), contractual form (temporary, permanent, agency), occupational safety incidents, and workplace accommodations. Exclude: variables that only identify occupation without information on the conditions of work, or variables limited to non-work environmental exposures.
3125	arbeitslosigkeit	Variables that define and measure unemployment status, duration, transitions, benefit receipt and job-search activities.	Relevant variables: unemployment status (according to ILO definition), start and end dates of unemployment spells, duration of unemployment, prior employment history, receipt and type of unemployment benefits, job-search intensity and methods, reason for job loss, re-employment indicators, and demographic correlates (age, education). Exclude: variables that only measure inactivity without distinguishing unemployment (unless clearly coded), and economic indicators at aggregate level without microdata linkage when individual-level analysis is intended.
57703	arbeitsweg	Variables that capture aspects of commuting: commute time, distance, travel mode, number of transfers, departure/arrival times, cost, congestion measures, and subjective commute satisfaction or stress.	Include measured or derived variables such as one-way travel time to work, round-trip commute duration, home–work distance, primary mode (car, public transport, bicycle, walking), multimodality indicators, peak/off-peak flags, route characteristics, commuting frequency, perceived commute stress, and exposures (air pollution, noise). Exclude variables that do not specify travel purpose or are aggregated mobility indices without work-specific attribution.
3474	arbeitszeit	Variables describing working time: weekly/annual hours, contractual vs actual hours, overtime, shift type, start/end times, irregularity, part-time/full-time status, and schedule control.	Include numeric measures (paid hours per week/day, overtime hours), categorical indicators (shift work, night work, weekend work, flexible schedule), timing variables (typical start and end times), measures of schedule variability and predictability, and subjective items on satisfaction with working hours and perceived work–life balance. Exclude variables that only indicate employment status without any temporal detail.
57292	ausländer	Variables indicating foreign or migrant status: country of birth, citizenship/nationality, migration background, year of arrival, residence permit type, language proficiency, and naturalization status.	Include primary identifiers (country of birth, citizenship, nationality), derived measures (first/second generation, length of stay, age at arrival), legal status descriptors (refugee/asylum seeker, permanent/temporary permit), and integration-related measures (host-language skills, employment in host-country jobs). Exclude variables that only approximate migration indirectly (e.g., surname) unless linked to validated migration markers.
4629	belastung von arbeit	Variables that quantify work-related burden: job demands, job control, effort-reward imbalance, physical load measures, exposure to hazards, perceived stress at work, and sickness absence related to work.	Include validated scales and items (e.g., demand, control, support scores), numeric measures of physical workload (lifting weight, repetition rates), records of occupational injury, frequency/duration of sick leave, and subjective measures of burnout or exhaustion attributable to work. Exclude variables that capture generic psychological distress without attributing cause to work contexts.
53421	belastung und arbeit	Variables capturing both work attributes and burden outcomes: job demands/control/support, physical exposures, work hours, plus stress, burnout, sickness absence, and performance metrics.	Include paired variables such as measures of workload and corresponding stress/burnout scores, objective workload indicators (hours, caseload) with health outcomes (sick days, mental health diagnoses), and organizational performance indicators linked to employee burden. Exclude isolated variables that do not permit connecting work characteristics to burden outcomes.
53418	belastungen am arbeitsplatz	Variables measuring types and intensity of workplace burdens, associated health outcomes and work-related consequences.	Include variables such as physical demands (lifting, repetitive movements), ergonomic risk scores, noise/chemical exposure levels, psychosocial demand/control/support scores, effort-reward imbalance, working hours/shift work, perceived workload, stress symptoms, burnout, musculoskeletal complaints, injury events, sick leave and absenteeism. Exclude generic mental health variables that lack linkage to workplace exposure or context unless usable as work-related outcomes.
2160	beruf	Core variables describing occupation, job classification and employment characteristics.	Include variables such as job title, occupational code (ISCO/SOC), industry code, employment status (employed, unemployed, self-employed), contract type (permanent/temporary), working hours, occupational class, occupational prestige and sector. Exclude variables that do not refer to the job/occupation dimension.
53913	beruf und bildung	Variables capturing educational attainment, qualifications and their mapping to occupations and career outcomes.	Include variables such as years of schooling, highest degree, ISCED/qualification codes, vocational certificates, field of study, training type, occupational code, job level, earnings, skill mismatch indicators and employment stability. Exclude generic academic performance measures that do not connect to occupational outcomes.
53953	beruf zufriedenheit	Variables measuring overall and facet-specific job satisfaction, and related attitudes and outcomes.	Include variables such as overall job satisfaction score, satisfaction with pay, tasks, supervision/co-workers, work-life balance, intrinsic/extrinsic satisfaction facets, turnover intention, organizational commitment and absenteeism. Exclude non-work-related well-being measures unless explicitly tied to occupational context.
4716	berufliche tätigkeit	Variables capturing employment participation, job tasks, working time and occupational activity characteristics.	Include variables such as employment status, hours worked, part-time/full-time indicator, primary job tasks, task complexity, occupational code, sector, employment spells, commuting and activity limitations at work. Exclude variables that only refer to non-work activities or general lifestyle measures.
